title,name,body,tag,rating1,rating2,rating3,rating4
Human Persistence,"Rory Madden
","Both advocates and opponents of the animalist view that we are fundamentally biological organisms have typically assumed that animalism is incompatible with intuitive verdicts about cerebrum isolation and transplantation. It is argued here that this assumption is a mistake. Animalism, developed in a natural way, in fact strongly supports these intuitive verdicts. The availability of this attractive resolution of a central puzzle in the personal identity debate has been obscured by a range of factors, including the prevalence in contemporary metaphysics of a certain conception of the nature of organisms. I end by explaining how the animalist can use intuitive verdicts, usually thought to present a difficulty for the view, as positive evidence for claims about the persistence conditions of the relevant kind of organism.

",epist,,,,
"Normativity, Commitment, and Instrumental Reason","Jay Wallace
","This paper addresses some connections between conceptions of the will and the theory of practical reason. The first two sections argue against the idea that volitional commitments should be understood along the lines of endorsement of normative principles. A normative account of volition cannot make sense of akrasia, and it obscures an important difference between belief and intention. Sections three and four draw on the non-normative conception of the will in an account of instrumental rationality. The central problem is to explain the grip of instrumental requirements even in cases in which agents do not fully endorse the ends they are pursuing. The solution I propose appeals to coherence constraints on the beliefs that condition the distinctive volitional stance of intention.

",ethics,,,,
"An Open and Shut Case: Epistemic Closure in the Manifest Image
","John Turri
","The epistemic closure principle says that knowledge is closed under known entailment. The closure principle is deeply implicated in numerous core debates in contemporary epistemology. Closure’s opponents claim that there are good theoretical reasons to abandon it. Closure’s proponents claim that it is a defining feature of ordinary thought and talk and, thus, abandoning it is radically revisionary. But evidence for these claims about ordinary practice has thus far been anecdotal. In this paper, I report five studies on the status of epistemic closure in ordinary practice. Despite decades of widespread assumptions to the contrary in philosophy, ordinary practice is ambivalent about closure. Ordinary practice does not endorse an unqualified version of the epistemic closure principle, although it might endorse a source-relative version of the principle. In particular, whereas inferential knowledge is not viewed as closed under known entailment, perceptual knowledge might be.

",logic,,,,
Why Throwing 92 Heads in a Row Is Not Surprising,"Martin Smith
","Tom Stoppard’s ""Rosencrantz and Guildenstern Are Dead"" opens with a puzzling scene in which the title characters are betting on coin throws and observe a seemingly astonishing run of 92 heads in a row. Guildenstern grows uneasy and proposes a number of unsettling explanations for what is occurring. Then, in a sudden change of heart, he appears to suggest that there is nothing surprising about what they are witnessing, and nothing that needs any explanation. He says ‘…each individual coin spun individually is as likely to come down heads as tails and therefore should cause no surprise each individual time it does.’ In this article I argue that Guildenstern is right – there is nothing surprising about throwing 92 heads in a row. I go on to consider the relationship between surprise, probability and belief.

",mind,,,,
Causation as Folk Science,"John D. Norton
","I deny that the world is fundamentally causal, deriving the skepticism on non-Humean grounds from our enduring failures to find a contingent, universal principle of causality that holds true of our science. I explain the prevalence and fertility of causal notions in science by arguing that a causal character for many sciences can be recovered, when they are restricted to appropriately hospitable domains. There they conform to loose and varying collections of causal notions that form folk sciences of causation. This recovery of causation exploits the same generative power of reduction relations that allows us to recover gravity as a force from Einstein's general relativity and heat as a conserved fluid, the caloric, from modern thermal physics, when each theory is restricted to appropriate domains. Causes are real in science to the same degree as caloric and gravitational forces.

",epist,,,,
"Subjective Probabilities Should be Sharp
","Adam Elga
","Many have claimed that unspecific evidence sometimes demands unsharp, indeterminate, imprecise, vague, or interval-valued probabilities. Against this, a variant of the diachronic Dutch Book argument shows that perfectly rational agents always have perfectly sharp probabilities.

",logic,,,,
"Lying and Deception
","Don Fallis
","According to the standard philosophical definition of lying, you lie if you say something that you believe to be false with the intent to deceive. Recently, several philosophers have argued that an intention to deceive is not a necessary condition on lying. But even if they are correct, it might still be suggested that the standard philosophical definition captures the type of lie that philosophers are primarily interested in (viz., lies that are intended to deceive). In this paper, I argue that the standard philosophical definition is not adequate as a definition of deceptive lying either. I then suggest two plausible alternative definitions of this concept.",epist,,,,
"Thick Concepts and Variability
","Pekka Väyrynen
","Some philosophers hold that so-called ""thick"" terms and concepts in ethics (such as 'cruel,' 'selfish,' 'courageous,' and 'generous') are contextually variable with respect to the valence (positive or negative) of the evaluations that they may be used to convey. Some of these philosophers use this variability claim to argue that thick terms and concepts are not inherently evaluative in meaning; rather their use conveys evaluations as a broadly pragmatic matter. I argue that one sort of putative examples of contextual variability in evaluative valence that are found in the literature fail to support the variability claim and that another sort of putative examples are open to a wide range of explanations that have different implications for the relationship between thick terms and concepts and evaluation. I conclude that considerations of contextual variability fail to settle whether thick terms and concepts are inherently evaluative in meaning. In closing I suggest a more promising line of research.

",ethics,,,,
"Kant's Metaphysics of the Self
","Colin Marshall
","I argue that Kant's Critique of Pure Reason offers a positive metaphysical account of the thinking self. Previous interpreters have overlooked this account, I believe, because they have held that any metaphysical view of the self would be incompatible with both Kant's insistence on the limitations of cognition and with his project in the Paralogisms. Closer examination, however, shows that neither of those aspects of the Critique precludes a metaphysical account of the self, and that other aspects (namely, the structure of Kant's overall project and the commitments of his claims in the Transcendental Deduction) require such an account. Drawing on a principle of 'effect-relative composition,' I argue that Kant's self is neither an activity, a form, nor a representation, but instead an individual constituted by the thing or things that bring about the unity of a course of experience.

",mind,,,,
"The Arts of Action
","C. Thi Nguyen
","The theory and culture of the arts has largely focused on the arts of objects, and neglected the arts of action – or, as I call them, the “process arts”. In the process arts, artists create artifacts to engender activity in their audience, for the sake of the audience’s aesthetic appreciation of their own activity. This includes appreciating their own deliberations, choices, reactions, and movements. The process arts include games, urban planning, improvised social dance, cooking, and social food rituals. In the traditional object arts, the central aesthetic properties occur in the artistic artifact itself. It is the painting that is beautiful; the novel that is dramatic. In the process arts, the aesthetic properties occur in the activity of the appreciator. It is the game player’s own decisions that are elegant, the rock climber’s own movement that is graceful, and the tango dancers’ rapport that is beautiful. The artifact’s role is to call forth and shape that activity, guiding it along aesthetic lines. I offer a theory of the process arts. Crucially, we must distinguish between the designed artifact and the prescribed focus of aesthetic appreciation. In the object arts, these are one and the same. The designed artifact is the painting, which is also the prescribed focus of appreciation. In the process arts, they are different. The designed artifact is the game, but the appreciator is prescribed to appreciate their own activity in playing the game. Next, I address the complex question of who the artist really is in a piece of process art — the designer or the active appreciator? Finally, I diagnose the lowly status of the process arts.

",logic,,,,
"Reflection Principles and the Liar in Context
","Julien Murzi, Lorenzo Rossi
","Contextualist approaches to the Liar Paradox postulate the occurrence of a context shift in the course of the Liar reasoning. In particular, according to the contextualist proposal advanced by Charles Parsons (1974) and Michael Glanzberg (2001, 2004), the Liar sentence L (asserting that L does not express a true proposition) doesn’t express a true proposition in the initial context of reasoning c, but expresses a true one in a new, richer context c', where more propositions are available for expression. On the further assumption that Liar sentences involve propositional quantifiers whose domains may vary with context, the Liar reasoning is blocked. But why should context shift? We argue that the paradox involves principles of contextualist reflection that explain, by analogy with well-known reflection principles for arithmetic, why context must shift from c to c' in the course of the Liar reasoning. This provides a diagnosis of the Liar Paradox—one that equally applies to two revenge arguments against contextualist approaches, one recently advanced by Andrew Bacon (2015), the other mentioned by Charles Parsons (1974) and more recently revived by Cory Juhl (1997).

",mind,,,,
"Hume’s Treatment of Denial in the Treatise
","Lewis Powell
","David Hume fancied himself the Newton of the mind, aiming to reinvent the study of human mental life in the same way that Newton had revolutionized physics. And it was his view that the novel account of belief he proposed in his Treatise of Human Nature was one of that work’s central philosophical contributions. From the earliest responses to the Treatise forward, however, there was deep pessimism about the prospects for his account. It is easy to understand the source of this pessimism: The constraints he employed in theorizing stem from his Newtonian ambitions. Constraints such as his copy principle and his decision to rely only on variations in “force and vivacity” for differentiating types of mental states severely limit his available explanatory resources. However, it is one thing to regard an account as untenable, and quite another to understand where it fails. In this paper, I focus on one long-standing objection to Hume’s account — the objection that Hume cannot offer an account of negative belief or denial — as presented by Hume’s contemporary Thomas Reid, as well as more recently by Barry Stroud, and defend Hume from this objection. I argue that Hume both should and does endorse an account of negative belief based in relations of contrariety between contents, rather than between mental activities, and survey the different options available to Hume for spelling out an account of contrary contents.

",meta,,,,
"Explanation as a Guide to Induction
","Roger White
","It is notoriously difficult to spell out the norms of inductive reasoning in a neat set of rules. I explore the idea that explanatory considerations are the key to sorting out the good inductive inferences from the bad. After defending the crucial explanatory virtue of stability, I apply this approach to a range of inductive inferences, puzzles, and principles such as the Raven and Grue problems, and the significance of varied data and random sampling.

",epist,,,,
"Assurance and Warrant
","Edward S. Hinchman
","Previous assurance-theoretic treatments of testimony have not adequately explained how testimonial warrant depends specifically on the speaker’s mode of address – making it natural to suspect that the interpersonal element is not epistemic but merely psychological or action-theoretic. I aim to fill that explanatory gap: to specify exactly how a testifier’s assurance can create genuine epistemic warrant. In doing so I explain (a) how the illocutionary norm governing the speech act proscribes not lies but a species of bullshit, in an extension of Harry Frankfurt’s sense, (b) how that norm makes testimony fully second-personal, in Stephen Darwall’s sense, or bipolar, in Michael Thompson’s sense, and (c) how that species of second-personality or bipolarity is more fundamental than the practical species that Darwall and Thompson discuss. One attraction of this new Assurance View of testimony is that it allows us to reconceptualize the natures of normativity and responsibility more generally, viewing the assurance as implicating us in normative relations of recognition, and therefore of justice, that are not yet moralized with reactive attitudes.

",mind,,,,
"Rigid Designation and Semantic Structure
","Arthur Sullivan
","There is a considerable sub-literature, stretching back over 35 years, addressed to the question: Precisely which general terms ought to be classified as rigid designators? More fundamentally: What should we take the criterion for rigidity to be, for general terms? The aim of this paper is to give new grounds for the old view that if a general term designates the same kind in all possible worlds, then it should be classified as a rigid designator. The new grounds in question have to do with excavating the connection between rigid designation and semantic structure. Other original contributions of the present work consist in developing responses to some objections to this approach to rigid designation.

",ethics,,,,
"On Classical Motion
","C. D. McCoy
","The impetus theory of motion states that to be in motion is to have a non-zero velocity. The at-at theory of motion states that to be in motion is to be at different places at different times, which in classical physics is naturally understood as the reduction of velocities to position developments. I first defend the at-at theory against the criticism raised by Arntzenius that it renders determinism impossible. I then develop a novel impetus theory of motion that reduces positions to velocity developments. As this impetus theory of motion is by construction a mirror image of the at-at theory of motion, I claim that the two theories of motion are in fact epistemically on par --- despite the unfamiliar metaphysical picture of the world furnished by the impetus version.

",mind,,,,
"Debunking Perceptual Beliefs about Ordinary Objects
","Daniel Z. Korman
","Debunking arguments are arguments that aim to undermine some range of beliefs by showing that those beliefs are not appropriately connected to their subject matter. Arguments of this sort rear their heads in a wide variety of domains, threatening beliefs about morality, mathematics, logic, color, and the existence of God. Perceptual beliefs about ordinary objects, however, are widely thought to be invulnerable to such arguments. I will show that this is a mistake. I articulate a debunking argument that purports to undermine our most basic perceptual beliefs. I then challenge a number of responses to the argument, including the “permissivist” response that there are a plenitude of objects before us, virtually guaranteeing the accuracy of our object beliefs.

",epist,,,,
"‘Making up Your Mind’ and the Activity of Reason
","Matthew Boyle
","A venerable philosophical tradition holds that we rational creatures are distinguished by our capacity for a special sort of mental agency or self-determination: we can “make up” our minds about whether to accept a given proposition. But what sort of activity is this? Many contemporary philosophers accept a Process Theory of this activity, according to which a rational subject exercises her capacity for doxastic self-determination only on certain discrete occasions, when she goes through a process of consciously deliberating about whether P and concludes by “making a judgment”, thereby bringing about a change in what she believes. I argue that this conception of our control over our beliefs implies an unacceptable picture of the agency we exercise in judging, and of the relation of such agency to the condition of belief itself. I suggest that the beliefs of a rational creature are themselves “acts of reason”, which reflect the capacity for doxastic self-determination in their very nature, not merely in certain facts about how they can originate.

",ethics,,,,
"Kant on Aesthetic Autonomy and Common Sense
","Samantha Matherne
","Recently, Kant’s account of aesthetic autonomy has received attention from those interested in a range of issues in aesthetics, including the subjectivity of aesthetic judgment, quasi-realism, aesthetic testimony, and aesthetic normativity. Although these discussions have shed much light on the implications of Kant’s account of aesthetic autonomy, the phenomenon of aesthetic autonomy itself tends to be under-described. Commentators often focus on the negative aspect of this phenomenon, i.e., the sense in which an aesthetic judgment cannot be grounded on the testimony of others. However, on Kant’s view, autonomy is a positive phenomenon, something that involves self-determination and self-legislation. My aim in this paper is to clarify this positive aspect of Kantian aesthetic autonomy. In order to defend my interpretation of aesthetic autonomy, I appeal to another key concept in Kant’s aesthetics, viz., ‘common sense’. I claim that, for Kant, aesthetic common sense, which we acquire through aesthetic education, is what makes aesthetic self-determination and self-legislation, hence aesthetic autonomy, possible.

",meta,,,,
"Moral Community: Escaping the Ethical State of Nature
","Kyla Ebels-Duggan
","I attempt to vindicate our authority to create new practical reasons for others by making choices of our own. In The Doctrine of Right Kant argues that we have an obligation to leave the Juridical State of Nature and found the state. In a less familiar passage in Religion within the Bounds of Mere Reason he argues for an obligation to leave what he calls the Ethical State of Nature and join together in the Moral Community. I read both texts as addressing and trying to resolve a tension between our individual freedom and our authority to make claims on one another. I explicate the political argument, and then develop the view that Kant sketches in the Religion, arguing that regarding others as capable of making choices that give you reasons to act is a condition of the full exercise of your autonomy.

",ethics,,,,
Grounding Explanation,Louis deRosset,"A compelling idea holds that reality has a layered structure. We often disagree about what inhabits the bottom layer (or even if there is one), but we agree that higher up we find chemical, biological, geological, psychological, sociological, economic, etc., entities: molecules, human beings, diamonds, mental states, cities, interest rates, and so on. How is this intuitive talk of a layered structure of entities to be understood? Traditionally, philosophers have proposed to understand layered structure in terms of either reduction or supervenience. But these traditional views face well-known problems. A plausible alternative is that layered structure is to be explicated by appeal to explanations of a certain sort, termed grounding explanations. Grounding explanations tell us what obtains in virtue of what. Unfortunately, the use of grounding explanations to articulate the layered conception faces a problem, which I call the collapse. The collapse turns on the question of how to ground the facts stated by the explanations themselves. In this paper I make a suggestion about how to ground explanations that avoids the collapse. Briefly, the suggestion is that the fact stated by a grounding explanation is grounded in its explanans.",logic,,,,
Slurs Are Directives,Cameron Domenico Kirk-Giannini,"Recent work on the semantics and pragmatics of slurs has explored a variety of ways of explaining their potential to derogate, with the most popular family of approaches appealing to either: (i), the doxastic or evaluative attitudes or commitments expressed by — or (ii), the propositions concerning such attitudes or commitments semantically or pragmatically communicated by — the speakers who use them. I begin by arguing that no such speaker-oriented approach can be correct. I then propose an alternative treatment of slurs, according to which they are semantically associated with both descriptive and directive content. On the view I defend, when speakers use slurs, they simultaneously propose to add an at-issue proposition to the conversational common ground and issue a not-at-issue directive to their interlocutors to adopt a derogatory perspective toward members of the targeted group. This proposal both avoids the problems faced by other accounts and opens up a novel way of thinking about the phenomenon of appropriation.",mind,,,,
Death and Consensus Liberalism,Jeremy Williams,"A crucial test for the dominant Rawlsian ‘consensus’ brand of public reason is whether it is complete – sufficient in content, that is, to yield determinate answers to the political questions put before it. Yet while doubts about the incompleteness of Rawlsian public reason have been often voiced, critics have thus far carried out relatively little of the philosophical spadework needed to substantiate them. This paper contributes to remedying this omission, via a detailed analysis of the implications of Rawlsian public reason for an important bioethical problem arising at the end of human life. This is the problem of how to define and diagnose the death of a person, or determine at what point the clinical and legal practices conventionally associated with death, such as the removal of vital organs, may take place. My thesis is that this is a matter on which Rawlsian public reason does indeed have a grave incompleteness problem: the model produces indeterminacy, I argue, between a broad range of legal definitions of death (at least bracketing the socially contingent effects which candidate policies might have on third parties). I also aim to go beyond existing articulations of the incompleteness objection, moreover, by examining what Rawlsian consensus liberalism implies about how decision-makers ought to respond to indeterminacies in public reason. Insofar as the route to a reasoned choice between competing criteria of death is foreclosed, I contend, the Rawlsian view requires that selection among policy options proceed in an intolerably arbitrary fashion. The latter finding alters the cast of the familiar incompleteness objection, by closing the gap between it and what I have elsewhere called the ethical objection – the objection, that is, that public reason can in some cases generate (or be at undue risk of generating) determinate but morally unacceptable decisions.",metaphysics,,,,
Does Identity Politics Reinforce Oppression?,Katherine Ritchie,"Identity politics has been critiqued in various ways. One central problem — the Reinforcement Problem — claims that identity politics reinforces groups rooted in oppression, thereby undermining its own liberatory aims. Here I consider two versions of the problem — one psychological and one metaphysical. I defang the first by drawing on work in social psychology. I then argue that careful consideration of the metaphysics of social groups and of the practice of identity politics provides resources to dissolve the second version. Identity politics involves the creation or transformation of groups in ways that do not succumb to the metaphysical Reinforcement Problem.",metaphysics,,,,
"Kant on Plants: Self-Activity, Representations, and the Analogy with Life",Tyke Nunez,"Do plants represent, according to Kant? This question is closely connected to whether Kant held plants are alive, because he explains life in terms of the faculty to act on one’s own representations. He also explains life as having an immaterial principle of self-motion and as a body’s interaction with a supersensible soul. I argue that because of the way plants move themselves, Kant is committed to their being alive, to their having a supersensible ground of their self-activity, and to their having desires (although these are not conscious). This has important ramifications for Kant’s teleology and philosophy of mind.",logic,,,,
Self-Conscious Emotions Without a Self,"Monima Chadha, Shaun Nichols","Recent discussions of emotions in Buddhism suggest that one of the canonical self-conscious emotions, shame (the received translation of the Pāli term ‘hiri’), is an emotion to be endorsed and indeed cultivated. The canonical texts in the Abhidharma Buddhist tradition, endorse hiri as one of the wholesome (kusala) factors “always found in all good minds” and as one of “the guardians of the world”. Shame is widely taken to be a self-conscious emotion, and so if hiri counts as shame, this seems to be in tension with the central Buddhist claim that we should rid ourselves of the idea that there is a self. Buddhist moral education seems to promote an emotion that fundamentally presupposes something that Buddhist metaphysics fundamentally rejects: a self. This puzzle provides the motivation for our paper, and we will argue for a new understanding of hiri that also has implications for how we should think about one important “self-conscious” moral emotion, guilt. This puzzle about the Buddhist tradition also raises a basic philosophical question: What kinds of moral emotions are theoretically consistent with the denial of a self? We argue that anticipatory guilt might be such an emotion, and that it provides a plausible interpretation of hiri in key Buddhist texts.",mind,,,,
The Tale of Bella and Creda,Scott Sturgeon,"Some philosophers defend the view that epistemic agents believe by lending credence. Others defend the view that such agents lend credence by believing. It can strongly appear that the disagreement between them is notational, that nothing of substance turns on whether we are agents of one sort or the other. But that is demonstrably not so. Only one of these types of epistemic agent, at most, could manifest a human-like configuration of attitudes; and it turns out that not both types of agent are possible.",ethics,,,,
Williams’s Pragmatic Genealogy and Self-Effacing Functionality,Matthieu Queloz,"In Truth and Truthfulness, Bernard Williams sought to defend the value of truth by giving a vindicatory genealogy revealing its instrumental value. But what separates Williams’s instrumental vindication from the indirect utilitarianism of which he was a critic? And how can genealogy vindicate anything, let alone something which, as Williams says of the concept of truth, does not have a history? In this paper, I propose to resolve these puzzles by reading Williams as a type of pragmatist and his genealogy as a pragmatic genealogy. On this basis, I show just in what sense Williams’s genealogy can by itself yield reasons to cultivate a sense of the value of truth. Using various criticisms of Williams’s genealogical method as a foil, I then develop an understanding of pragmatic genealogy which reveals it to be uniquely suited to dealing with practices exhibiting what I call self-effacing functionality—practices that are functional only insofar as and because we do not engage in them for their functionality. I conclude with an assessment of the wider significance of Williams’s genealogy for his own oeuvre and for further genealogical inquiry.",mind,,,,
Functionalism and the Metaphysics of Causal Exclusion,David Yates,"Given their physical realization, what causal work is left for functional properties to do? Humean solutions to the exclusion problem (e.g., overdetermination and difference making) typically appeal to counterfactual and/or nomic relations between functional property-instances and behavioural effects, tacitly assuming that such relations suffice for causal work. Clarification of the notion of causal work, I argue, not only shows that such solutions don't work, but also reveals a novel solution to the exclusion problem based on the relations between dispositional properties at different levels of mechanism. The solution involves three central claims: (i) the causal work of properties consists in grounding dispositions, (ii) functional properties are dispositions, and (iii) the dispositions of mechanisms are grounded in the dispositions of their components. Treating functional mental properties as dispositions of components in psychological mechanisms, I argue that such properties do the causal work of grounding agent-level dispositions. These dispositions, while ultimately grounded in the physical realizers of mental properties, are indirectly so grounded, through a hierarchy of grounding relations that extends upwards, of necessity, through the mental domain.",mind,,,,
Manipulation and Moral Standing: An Argument for Incompatibilism,Patrick Todd,"A prominent recent strategy for advancing the thesis that moral responsibility is incompatible with causal determinism has been to argue that agents who meet compatibilist conditions for responsibility could nevertheless be subject to certain sorts of deterministic manipulation, so that an agent could meet the compatibilist’s conditions for responsibility, but also be living a life the precise details of which someone else determined that she should live. According to the incompatibilist, however, once we became aware that agents had been manipulated or ‘set up’ in the relevant way, we should no longer judge that they are responsible for their behavior, nor should we hold them responsible for it by blaming them, in case what they did was wrong. In this paper, I aim to shift the debate to different terrain. The focus so far has been simply on what we may or may not permissibly say or do concerning manipulated agents. But I believe a powerful new incompatibilist argument can be mounted from considering whether the manipulators themselves can justifiably blame the agents they manipulate in compatibilist-friendly ways. It seems strikingly counterintuitive to suppose that they may do so. The argument of this paper, however, is that, given the right story, incompatibilism provides the best explanation for why this is so. In short, the compatibilist must say that, while such manipulated agents are still responsible, the manipulators lack the moral standing to blame them. But I argue that, on compatibilist assumptions, this explanation ultimately fails.",mind,,,,
Kant's Empirical Account of Human Action,Patrick R. Frierson,"In the first Critique, Kant says, ""[A]ll the actions of a human being are determined in accord with the order of nature, "" adding that ""if we could investigate all the appearances . . . there would be no human action we could not predict with certainty. "" Most Kantian treatments of human action discuss action from a practical perspective, according to which human beings are transcendentally free, and thus do not sufficiently lay out this Kant's empirical, causal description of human action. Drawing on Kant's lectures in empirical psychology and his anthropological writings, this paper offers a clear and detailed elucidation of Kant's empirical account of human action. After explaining the connection between cognitions, feelings, desires, and actions, I show how the lower faculty of desire is governed by various instincts, inclinations, and propensities, and how the higher faculty of desire is governed by (empirical) character. I also discuss how character and inclinations arise from natural human propensities combined with other empirical causes. By looking at both Kant's faculty psychology and his account of predispositions, I lay out an overall Kantian framework for explaining any kind of human action.",metaphysics,,,,
On the Open-Endedness of Logical Space,Agustín Rayo,"Modal logicism is the view that a metaphysical possibility is just a non-absurd way for the world to be. I argue that modal logicists should see metaphysical possibility as ""open ended'': any given possibilities can be used to characterize further possibilities. I then develop a formal framework for modal languages that is a good fit for the modal logicist and show that it delivers some attractive results.",logic,,,,
Rethinking Kant’s Fact of Reason,Owen Ware,"Kant’s doctrine of the Fact of Reason is one of the most perplexing aspects of his moral philosophy. The aim of this paper is to defend Kant’s doctrine from the common charge of dogmatism. My defense turns on a previously unexplored analogy to the notion of ‘matters of fact’ popularized by members of the Royal Society in the seventeenth century. In their work, ‘facts’ were beyond doubt, often referring to experimental effects one could witness first hand. While Kant uses the German equivalent (‘Tatsachen’) in different contexts, I argue that the scientific analogy opens up a new framework for interpreting his strategy of justification in the Critique of Practical Reason. In the final section, I address a few possible objections to my reading, one of which I anticipate coming from Dieter Henrich (1989) and Ian Proops (2003), who have argued that Kant’s Fact of Reason is best understood under a legal analogy.",metaphysics,,,,
The Epistemological Challenge of Revisionary Metaphysics,Uriah Kriegel,"This paper presents a systematic challenge to the viability of revisionary metaphysics. The challenge is to provide epistemic grounds on which one might justifiably believe that a revisionary-metaphysical theory in some area is more likely to be true than its competitors. I argue that upon close examination, the main candidates for providing such grounds — empirical evidence, intuition, and the theoretical virtues — all turn out to be unsatisfactory.",language,,,,
"Method Pluralism, Method Mismatch, & Method Bias","Adrian Currie, Shahar Avin","Pluralism about scientific method is more-or-less accepted, but the consequences have yet to be drawn out. Scientists adopt different methods in response to different epistemic situations: depending on the system they are interested in, the resources at their disposal, and so forth. If it is right that different methods are appropriate in different situations, then mismatches between methods and situations are possible. This is most likely to occur due to method bias: when we prefer a particular kind of method, despite that method clashing with evidential context or our aims. To explore these ideas, we sketch a kind of method pluralism which turns on two properties of evidence, before using agent-based models to examine the relationship between methods, epistemic situations, and bias. Based on our results, we suggest that although method bias can undermine the efficiency of a scientific community, it can also be productive through preserving a diversity of evidence. We consider circumstances where method bias could be particularly egregious, and those where it is a potential virtue, and argue that consideration of method bias reveals that community standards deserve a central place in the epistemology of science.",mind,,,,
The Problem of Respecting Higher-Order Doubt,David Alexander,"This paper argues that higher-order doubt generates an epistemic dilemma. One has a higher-order doubt with regards to P insofar as one justifiably withholds belief as to what attitude towards P is justified. That is, one justifiably withholds belief as to whether one is justified in believing, disbelieving, or withholding belief in P. Using the resources provided by Richard Feldman’s recent discussion of how to respect one’s evidence, I argue that if one has a higher-order doubt with regards to P, then one is not justified in having any attitude towards P. Otherwise put: No attitude towards the doubted proposition respects one’s higher-order doubt. I argue that the most promising response to this problem is to hold that when one has a higher-order doubt about P, the best one can do to respect such a doubt is to simply have no attitude towards P. Higher-order doubt is thus much more rationally corrosive than non-higher-order doubt, as it undermines the possibility of justifiably having any attitude towards the doubted proposition.",mind,,,,
The Negation of Self in Indian Buddhist Philosophy,Sean M. Smith,"The not-self teaching is one of the defining doctrines of Buddhist philosophical thought. It states that no phenomenon is an abiding self. The not-self doctrine is central to discussions in contemporary Buddhist philosophy and to how Buddhism understood itself in relation to its Brahmanical opponents in classical Indian philosophy. In the Pāli suttas, the Buddha is presented as making statements that seem to entail that there is no self. At the same time, in these texts, the Buddha is never presented as saying explicitly that there is no self. Indeed, in the one discourse in which he is asked point blank whether there is a self, he refuses to answer (SN IV, 400). Thus, the suttas present us with a fundamental philosophical and interpretive problem: if the Buddha denies the existence of the self, why does he not state this denial explicitly? This paper resolves the problem by explaining why and how the Buddha can argue in a way that entails metaphysical anti-realism about the self while also refusing to state explicitly that there is no self.",ethics,,,,
Ceteris Paribus Laws: Generics and Natural Kinds,Bernhard Nickel,"Ceteris Paribus (cp-)laws may be said to hold only “other things equal,” signaling that their truth is compatible with a range of exceptions. This paper provides a new semantic account for some of the sentences used to state cp-laws. Its core approach is to relate these laws to natural language on the one hand — by arguing that cp-laws are most naturally expressed with generics — and to natural kinds on the other — by arguing that the semantics of generics in the context of the special sciences are best spelled out by appeal to natural kinds. The paper then goes on to draw on these semantics in order to illuminate several problems raised by cp-laws, some familiar, some new.",language,,,,
Stoic Logic and Multiple Generality,"Susanne Bobzien, Simon Shogry","We argue that the extant evidence for Stoic logic provides all the elements required for a variable-free theory of multiple generality, including a number of remarkably modern features that straddle logic and semantics, such as the understanding of one- and two-place predicates as functions, the canonical formulation of universals as quantified conditionals, a straightforward relation between elements of propositional and first-order logic, and the roles of anaphora and rigid order in the regimented sentences that express multiply general propositions. We consider and reinterpret some ancient texts that have been neglected in the context of Stoic universal and existential propositions and offer new explanations of some puzzling features in Stoic logic. Our results confirm that Stoic logic surpasses Aristotle’s with regard to multiple generality, and are a reminder that focusing on multiple generality through the lens of Frege-inspired variable-binding quantifier theory may hamper our understanding and appreciation of pre-Fregean theories of multiple generality.",logic,,,,
"Reasoning, Defeasibility, and the Taking Condition",Markos Valaris,"Reasoning is a way of forming or revising attitudes such as beliefs and intentions. But what sets reasoning apart from other ways of forming or revising attitudes? According to the Taking Condition, an agent’s response does not count as an instance of reasoning unless the agent takes it that her circumstances warrant that response. While initially attractive to many, the Taking Condition has also faced a lot of criticism in the literature. This paper suggests a novel way of motivating the Taking Condition. More specifically, it argues that recognizing the pervasive defeasibility of human reasoning provides strong reasons to accept the Taking Condition.",language,,,,
Counting as a Type of Measuring,David Liebesman,"There may be two and a half bagels on the table. When there are two and a half, it is false that there are exactly two. As obvious as these claims are, they can’t be accounted for on the most straightforward and familiar views of counting and the semantics of number words. I develop a view on which counting is a type of measuring. In particular, counting involves a specific measure function. I then analyze that function and show how it can account for the cases in which counting is sensitive to partiality, e.g. partial bagels.",metaphysics,,,,
"Why ‘Ought’ Detaches: Or, Why You Ought to Get with My Friends (If You Want to Be My Lover)",Alex Silk,"This paper argues that a standard analysis of modals from formal semantics suggests a solution to the detaching problem — the problem of whether un-embedded 'ought'-claims can ""detach"" (be derived) from hypothetical imperatives and their antecedent conditions. On a broadly Kratzerian analysis, modals have a skeletal conventional meaning and receive a particular reading (e.g., deontic, epistemic, teleological) only relative to certain forms of contextual supplementation. I argue that 'ought'-claims can detach — subject to an important qualification — but only as long as the 'ought's in the conditional premise and conclusion are interpreted relative to the same ordering sources. Although modus ponens can be shown to fail with hypothetical imperatives, the cases in question do not constitute a failure of detachment in the sense that ethicists have cared about. Rival wide-scoping accounts are proven to be linguistically problematic. They make incorrect predictions about the meanings of hypothetical imperatives, and founder in response to quantificational variants of the detaching problem.",ethics,,,,
